Endereço;Preço;Área (m2);Quartos;Banheiros;Garagem
Rua 138;R$ 605.000;47;1;1;1
Rua Amélia Artiaga Jardim;R$ 785.000;73;2;3;0
Rua 38;R$ 1.600.000;140;3;4;2
Rua 1128;R$ 790.000;80;3;3;2
Rua Mário Bittar;R$ 880.000;99;3;4;2
Rua 1123;R$ 945.000;89;3;2;1
Alameda Ricardo Paranhos;R$ 3.280.000;251;4;6;3
Rua Amélia Artiaga Jardim;R$ 495.000;48;1;1;0
Avenida Americano do Brasil;R$ 2.150.000;205;3;4;3
Rua 146;R$ 1.221.300;137;3;4;2
Rua 1121;R$ 1.715.000;152;3;5;0-3
Rua 146;R$ 1.350.000;138;3;4;2
Rua 1141;R$ 1.287.000;121;3;4;2
Rua 1138;R$ 820.000;71;2;3;1
Rua 1123;R$ 490.000;70;1;1;1
Rua Mário Bittar;R$ 2.150.000;210;4;5;4
;R$ 1.450.000;137;3;1;2
Rua 1141;R$ 1.080.000;121;3;4;2
Rua 1122;R$ 440.000;77;3;2;1
Rua 147;R$ 1.200.000;114;3;4;2
Rua 1123;R$ 350.000;41;1;1;1
Rua 1128;R$ 1.500.000;139;3;4;2
Rua 145;R$ 1.099.990;139;3;4;2
;R$ 860.000;89;2;3;1
Rua 147;R$ 1.368.400;115;3;4;2
Rua 146;R$ 1.300.000;130;3;4;2
Rua 146;R$ 1.490.000;140;3;3;2
Rua T 55;R$ 450.000;34;1;1;1
Rua 1123;R$ 1.420.000;130;3;5;2
Rua 137;R$ 664.000;69;2;2;1
Rua 147;R$ 980.000;115;3;4;2
Rua 146;R$ 1.220.493;140;3;4;2
Rua 1124;R$ 1.837.000;125;3;4;2
Rua 145;R$ 1.395.000;138;3;4;2
;R$ 2.350.000;256;4;6;3
Rua 1123;R$ 485.000;45;1;1;1
Avenida T 10;R$ 1.600.000;129;3;4;2
Rua 1128;R$ 1.199.999;116;3;5;2
Rua 1138;R$ 1.500.000;121;3;4;2
Rua 146;R$ 1.150.000;138;3;4;2
Rua 147;R$ 1.030.000;115;3;4;2
Rua 137-A;R$ 774.300;87;2;3;1
Alameda Coronel Eugênio Jardim;R$ 5.495.332;323;4;4;4
Rua 1123;R$ 780.000;72;2;3;1
Rua 1128;R$ 1.650.000;166;3;4;3
Rua 1123;R$ 984.000;87;3;3;2
Rua 1128;R$ 1.000.000;116;3;4;2
;R$ 1.080.000;130;3;4;3
Rua 1121;R$ 616.000;76;3;2;1
Rua 145;R$ 1.060.000;133;3;4;3
Rua 1124;R$ 2.190.000;157;3;4;3
Rua 1121;R$ 845.000;79;2;3;2
;R$ 1.985.866;162-166;3;4;2
Rua 147;R$ 970.000;115;3;4;2
Alameda Ricardo Paranhos;R$ 650.000;80;3;2;2
Rua 146;R$ 1.490.000;138;3;4;2
Rua 138;R$ 2.120.000;218;4;6;3
Rua 1128;R$ 818.000;72;2;2;1
Rua 38;R$ 2.650.000;226;4;4-5;3
Rua 137;R$ 1.230.000;126;3;5;2
Rua 139;R$ 535.000;47;1;2;1
Rua 1124;R$ 1.495.000;126;3;4;2
Rua 145;R$ 1.095.000;133;3;5;3
Rua 1141;R$ 1.180.000;120;3;3;2
Rua 1128;R$ 990.000;104;3;4;2
Rua 38;R$ 1.390.000;135;3;4;2
Rua 1141;R$ 770.000;69;2;2;1
Rua 34-A;R$ 1.850.000;166;3;4;3
Rua 140;R$ 576.000;53;1;1;0
Rua 1138;R$ 1.290.000;122;3;4;2
Rua 25;R$ 1.680.000;158;3;5;3
Rua 24;R$ 480.000;49;1;1;1
Rua 146;R$ 1.390.000;128;3;4;2
Rua 24;R$ 713.000;66;2;2;1
Rua 137-A;R$ 857.000;87;2;3;1
Rua 15;R$ 450.000;65;2;2;1
Rua 1128;R$ 1.197.309;104;3;3;2
Rua Amélia Artiaga Jardim;R$ 785.000;73;2;3;1
Rua 1141;R$ 413.830;38;1;1;1
Rua 147;R$ 1.450.000;114;3;4;2
Rua 36;R$ 2.763.285;243;4;5;4
Rua 135;R$ 1.299.000;122;3;4;2
Rua 1123;R$ 1.550.000;127;3;3;2
;R$ 840.000;80;3;3;1
Rua 138;R$ 1.500.000;135;3;4-5;3
Avenida D;R$ 950.000;79;2;3;1
Rua 147;R$ 1.450.000;115;3;4;2
Rua 135;R$ 860.000;77;2;2;1
Rua 24;R$ 1.790.000;157-160;3;4-5;3
Rua 1138;R$ 1.550.000;120;3;4;2
Rua 147;R$ 1.350.000;119;3;4;2
Rua 1128;R$ 830.000;72;2;2;1
Rua 1124;R$ 1.800.000;157;3;7;2
Rua 1141;R$ 707.439;71;2;2;1
Rua 36;R$ 1.800.000;162;3;4;3
Rua 146;R$ 877.500;76;3;3;0
Rua 138;R$ 430.000;46;1;1;1
Rua 1141;R$ 670.000;67;2;2;1
Rua 1122;R$ 2.822.103;229;3;5;3
Rua 1141;R$ 4.410.000;374;4;1;3
Rua 145;R$ 1.730.000;151;3;4;2
Rua 146;R$ 1.400.000;137;3;4;2
Rua 147;R$ 1.150.000;115;3;4;2
Rua 147;R$ 1.118.790;115;3;4;2
Rua 1124;R$ 1.650.000;125;3;2;2
Rua 1123;R$ 650.000;69;2;2;1
Rua 1138;R$ 2.267.827;194-195;3;2-5;3
Rua 24;R$ 1.050.000;125;3;5;2
Rua Amélia Artiaga Jardim;R$ 1.250.000;116;3;4;2
Rua 147;R$ 1.550.000;115;3;5;2
Rua 1123;R$ 789.620;69;2;2;1
Rua 1128;R$ 1.100.000;118;3;5;2
Rua 135;R$ 815.000;80;2;3;1
Rua 1141;R$ 1.080.000;120;3;4;2
Rua 1121;R$ 779.000;65;2;3;0
Rua 1138;R$ 750.867;77;3;2;1
Rua 147;R$ 1.370.000;115;3;4;2
Rua 1141;R$ 1.080.000;122;3;4;2
Rua 1141;R$ 820.000;80;2;3;1
Rua 1141;R$ 2.500.000;177;3;4;3
Rua 137-A;R$ 820.000;86;3;2;0-1
Rua 146;R$ 1.552.000;138;3;5;2
Rua 146;R$ 1.206.000;140;3;4;2
;R$ 2.170.523;218;4;6;3
Rua 147;R$ 1.370.000;115;3;7;2
Rua 1124;R$ 1.931.000;158;3;4;2
Rua T 55;R$ 1.501.000;116-117;3;4;2
Rua T 53;R$ 679.000;67;2;2;1
;R$ 1.390.000;127;3;4;2
Rua 148;R$ 2.350.000;242-264;4;5-6;3
Rua 140;R$ 569.460;53;1;1;1
Rua 145;R$ 1.150.000;134;3;5;3
Rua 1124;R$ 1.490.000;126;3;4;2
Rua 1128;R$ 995.814;104;3;4;2
Rua 1128;R$ 1.750.000;166;3;5;3
Rua 135;R$ 1.990.000;179;3;4;3
Rua 143;R$ 949.750;114-115;3;2-4;2
Rua 1124;R$ 1.962.000;157;3;5;3
Rua 34;R$ 1.890.000;189;3;4;3
Rua 147;R$ 1.370.000;115;3;3;2
Rua 146;R$ 1.320.000;137;3;4;2
Rua 143;R$ 930.000;115;3;4;2
Rua 148;R$ 2.100.000;207;4;6;3
Rua 13;R$ 2.700.000;226;4;5;3
;R$ 2.400.000;225;4;5;3
Rua 1123;R$ 555.000;62;2;3;1
Rua Mário Bittar;R$ 899.000;100;3;2;2
Avenida 136;R$ 599.000;42;1;2;0
Rua 145;R$ 1.450.000;130;3;4;3
Rua 34-A;R$ 1.999.999;162;3;5;3
Rua 145;R$ 1.395.000;131;3;4;3
Rua 1123;R$ 550.000;62;2;3;1
Rua 24;R$ 729.399;66;2;2;1
Rua 1128;R$ 842.000;80;3;3;1
Rua 145;R$ 480.000;49;1;1;1
Rua 146;R$ 1.580.000;129;3;4;2
Rua 135;R$ 1.800.000;155;3;3;2
Rua 145;R$ 1.100.000;133;3;4;3
Rua 15;R$ 420.000;65;2;1;1
Rua 1124;R$ 1.650.000;125;3;1;2
Rua 146;R$ 1.350.000;139;3;5;2
Avenida Mutirão;R$ 1.400.000;135;3;1;3
Alameda Ricardo Paranhos;R$ 480.000;57;2;1;1
;R$ 840.796;84;3;4;2
Rua 1138;R$ 3.990.000;298;3;4;4
Rua 135;R$ 874.701;80;2;3;1
Rua 1124;R$ 1.624.990;125;3;4;2
Rua 135;R$ 846.000;77;2;2;1
Alameda Ricardo Paranhos;R$ 3.199.000;251;4;6;3
Rua 13;R$ 2.784.600;242;4;6;3
Rua 30;R$ 2.749.000;248;4;6;3
Rua 146;R$ 1.100.000;133;3;4;2
Avenida 136;R$ 587.839;49;1;2;1
Alameda Ricardo Paranhos;R$ 848.000;72;2;2;1
Rua 1141;R$ 2.190.000;177;3;4-5;3
Rua 145;R$ 1.080.000;130;3;4;3
Rua 28;R$ 911.748;77;2;3;1
;R$ 1.370.000;115;3;4;2
Rua 32;R$ 2.683.619;220;3;4;3
Alameda Coronel Eugênio Jardim;R$ 3.300.000;244;4;5;3
Rua 135;R$ 854.420;84;2;2;1
Rua Mário Bittar;R$ 1.080.000;99;3;4;2
Rua 38;R$ 1.300.000;129;3;4;2
Rua T 30;R$ 1.100.000;121;3;1;2
Rua 1128;R$ 1.100.000;116-120;3;3-4;2
Rua 137;R$ 750.000;73;2;3;1
Rua 1124;R$ 1.495.000;125;3;3;2
Rua 145;R$ 1.050.000;138;3;3;2
Rua 1124;R$ 1.490.000;125;3;4-5;2
Rua 146;R$ 1.260.000;137;3;4;2
Rua 1121;R$ 837.996;74;2;3;1
Rua 1141;R$ 680.000;71;2;3;1
Rua 135;R$ 1.350.000;121-123;3;3-4;2
Rua 143;R$ 930.000;115;3;7;2
Rua 42;R$ 1.150.000;135;3;4;2
;R$ 779.000;69;2;3;1
Rua 1125;R$ 3.380.000;266;4;6;3
Rua 137-A;R$ 799.990;86;2;3;2
Rua 146;R$ 1.240.000;140;3;4;2
