Endereço;Preço;Área (m2);Quartos;Banheiros;Garagem
Rua 145;R$ 1.800.000;150;3;5;3
Rua 1141;R$ 1.600.000;177;3;5;3
Rua 1123;R$ 1.250.000;130;3;4;2
Rua 135;R$ 1.350.000;121;3;1;2
Rua 1138;R$ 3.099.690;259;4;5;4
Rua 1128;R$ 890.000;80;3;3;1
Rua 1128;R$ 1.680.000;162;3;5;3
Rua 1123;R$ 1.100.000;111;3;3;2
Rua T 53;R$ 399.000;45;1;1;1
Rua 1141;R$ 1.160.000;112;3;5;2
Rua 13;R$ 2.600.000;244;3;3;3
Rua 135;R$ 1.880.000;178;3;5;3
Rua 138;R$ 2.195.380;217;3;4;3
Rua 32;R$ 2.799.740;260;4;6;3
Avenida Mutirão;R$ 1.250.000;127;3;4;2
Rua 1141;R$ 1.990.000;260;4;4;3
Rua 1123;R$ 1.490.000;127;3;3;2
;R$ 2.200.000;182;3;5;3
Rua 148;R$ 3.980.000;307;3;5;4
Alameda Ricardo Paranhos;R$ 6.449.200;409;4;6;4
Rua 1141;R$ 940.000;67;2;2;1
Rua 148;R$ 1.990.000;242;4;6;3
Rua 135;R$ 2.350.000;216;3;4;3
Rua 147;R$ 1.368.000;115;3;1;2
Rua 1123;R$ 1.350.000;127;3;4;2
Viela 1140;R$ 860.000;72;2;3;1
Rua 145;R$ 1.950.000;153;3;5;2
Rua 1128;R$ 2.250.000;149;3;4;3
Rua 1138;R$ 4.175.000;292;4;2;4
Rua 1121;R$ 3.009.000;262;4;2;3
Viela 1140;R$ 3.180.000;260;3;4;4
Rua 30;R$ 2.053.336;165;3;5;2
Avenida D;R$ 900.000;79;2;3;1
Avenida 136;R$ 601.038;48;1;2;0
Rua 146;R$ 1.580.000;125;3;4;2
Rua 140;R$ 508.553;41;1;1;1
Rua 140;R$ 1.000.000;82;2;4;2
Rua 30;R$ 2.941.000;248;4;5;2
Rua 1128;R$ 803.973;72;2;2;2
Rua 28;R$ 6.794.214;560;5;9;5
Rua 146;R$ 1.650.000;128;3;4;2
Rua 1141;R$ 2.680.000;223;4;5;3
Rua 146;R$ 1.020.462;96;2;2;0
;R$ 1.790.000;150;3;5;2
;R$ 1.900.000;150;3;3;2
;R$ 4.600.000;306;4;6;5
;R$ 1.230.000;155;3;4;2
;R$ 1.180.000;111;3;5;2
;R$ 1.990.000;179;3;5;3
;R$ 2.200.000;208;3;4;3
;R$ 1.420.000;130;3;3;2
;R$ 4.689.000;317;4;6;4
;R$ 880.000;99;3;1;2
